0,0,2180.4,108.2,158.2,205.1,279.4,325.6,2800.1,453.2,2142.4,205.6,440.4,445.8,487.6,560.9,719.1,828.3,914.1,2424,892.2,1442.1,1973.3,3590.8
1,2180.4,0,2161.7,2022.8,2155,2132.1,1855.2,2997,2036.9,4067.7,2383,2312.2,2266.5,2297.4,1808.7,1586.4,2825.7,2758.5,2573.2,2902.5,820.4,4091.4,5488.8
2,108.2,2161.7,0,164.7,97,380.3,317.1,2895.6,348.5,2227.5,265.5,343.7,343.6,387,477.5,654.9,920.6,836.5,2514.8,981.5,1403.4,1960.2,3545
3,158.2,2022.8,164.7,0,224.9,299.7,167.6,2770.8,400.7,2274.3,363.5,485.9,474.3,519.9,446.5,577.6,954.5,992.5,2381.6,1022.3,1285,2117.9,3709.7
4,205.1,2155,97,224.9,0,474.7,345.1,2984.3,259.6,2301.9,336.8,261.2,253.6,298.5,417.3,613.3,1003.3,769,2600.1,1061.6,1380.6,1947.8,3501.3
5,279.4,2132.1,380.3,299.7,474.7,0,387.2,2521.4,695.4,2035.5,356.2,719.7,723.4,766.1,738.3,835.9,722.1,1184.2,2148.2,796.3,1459.2,2140.1,3811.3
6,325.6,1855.2,317.1,167.6,345.1,387.2,0,2737.1,421.4,2411,530.1,588.1,564.1,609.4,375,448.8,1090.9,1103.7,2335.4,1161.7,1121.4,2277.2,3846.2
7,2800.1,2997,2895.6,2770.8,2984.3,2521.4,2737.1,0,3154.2,2804.8,2832.1,3239,3237.8,3282.1,3083.4,3024.8,2519.5,3695.8,441.3,2552,3021.2,4289.6,6089.3
8,453.2,2036.9,348.5,400.7,259.6,695.4,421.4,3154.2,0,2556.8,594.5,277.8,230.1,261,228.7,451.2,1262.7,749.5,2755.6,1320.3,1233.1,2057.7,3517.1
9,2142.4,4067.7,2227.5,2274.3,2301.9,2035.5,2411,2804.8,2556.8,0,1965.5,2378.6,2420.8,2435.1,2702.6,2851.5,1320.6,2458.9,2716.6,1252,3482.2,2046.2,3735.2
10,205.6,2383,265.5,363.5,336.8,356.2,530.1,2832.1,594.5,1965.5,0,480.7,506.6,537.7,742.8,916.7,670,865.2,2474.7,726,1647.7,1798.6,3455.2
11,440.4,2312.2,343.7,485.9,261.2,719.7,588.1,3239,277.8,2378.6,480.7,0,50.8,58.3,506,728.2,1131.4,515.6,2858.4,1177.9,1510.7,1780.6,3270.5
12,445.8,2266.5,343.6,474.3,253.6,723.4,564.1,3237.8,230.1,2420.8,506.6,50.8,0,45.9,458.8,681.3,1165.1,543.8,2853.5,1213.5,1463.1,1827.6,3305.4
13,487.6,2297.4,387,519.9,298.5,766.1,609.4,3282.1,261,2435.1,537.7,58.3,45.9,0,488.7,711.1,1189.7,501,2898.5,1236.2,1491,1799.8,3265
14,560.9,1808.7,477.5,446.5,417.3,738.3,375,3083.4,228.7,2702.6,742.8,506,458.8,488.7,0,222.6,1388.9,965.6,2671.9,1453,1004.7,2286.3,3730.6
15,719.1,1586.4,654.9,577.6,613.3,835.9,448.8,3024.8,451.2,2851.5,916.7,728.2,681.3,711.1,222.6,0,1531.1,1181.6,2602.4,1599.7,782.9,2508.7,3941.5
16,828.3,2825.7,920.6,954.5,1003.3,722.1,1090.9,2519.5,1262.7,1320.6,670,1131.4,1165.1,1189.7,1388.9,1531.1,0,1381.2,2235.3,76.9,2180.5,1790.1,3576.6
17,914.1,2758.5,836.5,992.5,769,1184.2,1103.7,3695.8,749.5,2458.9,865.2,515.6,543.8,501,965.6,1181.6,1381.2,0,3331.3,1402.9,1941.1,1397.3,2767.6
18,2424,2573.2,2514.8,2381.6,2600.1,2148.2,2335.4,441.3,2755.6,2716.6,2474.7,2858.4,2853.5,2898.5,2671.9,2602.4,2235.3,3331.3,0,2277.4,2580,4024,5810.4
19,892.2,2902.5,981.5,1022.3,1061.6,796.3,1161.7,2552,1320.3,1252,726,1177.9,1213.5,1236.2,1453,1599.7,76.9,1402.9,2277.4,0,2255.2,1746.6,3539.1
20,1442.1,820.4,1403.4,1285,1380.6,1459.2,1121.4,3021.2,1233.1,3482.2,1647.7,1510.7,1463.1,1491,1004.7,782.9,2180.5,1941.1,2580,2255.2,0,3290.6,4669.4
21,1973.3,4091.4,1960.2,2117.9,1947.8,2140.1,2277.2,4289.6,2057.7,2046.2,1798.6,1780.6,1827.6,1799.8,2286.3,2508.7,1790.1,1397.3,4024,1746.6,3290.6,0,1804.3
22,3590.8,5488.8,3545,3709.7,3501.3,3811.3,3846.2,6089.3,3517.1,3735.2,3455.2,3270.5,3305.4,3265,3730.6,3941.5,3576.6,2767.6,5810.4,3539.1,4669.4,1804.3,0
