0,0,2912,83,255,333,464,520,3390,1108,2777,361,871,913,850,1199,1403,1069,1246,3089,1078,2100,3245,4587
1,2910,0,2750,2476,2448,2807,2490,3582,2394,5159,3206,2717,2614,2592,2142,1907,3525,3225,3155,3534,1113,4897,6269
2,83,2971,0,579,250,1041,1012,3967,996,3354,938,759,801,738,1258,1462,1646,1134,3666,1655,2159,3133,4475
3,255,2825,579,0,314,685,433,3424,1188,3033,617,951,993,930,1112,1316,1325,1326,2997,1334,2013,3325,4667
4,333,2811,250,314,0,881,747,3807,836,3194,778,599,641,578,1098,1302,1486,974,3506,1495,1999,2973,4315
5,464,2964,1029,450,764,0,635,3304,1442,2691,686,1205,1247,1184,1249,1453,983,1580,2844,992,2150,3579,4921
6,520,2680,798,433,496,734,0,3279,1219,3275,935,1075,1439,1417,967,1171,1534,1450,2852,1543,1868,3449,4791
7,3390,3525,4041,3570,3739,3605,3288,0,3855,3545,3578,4178,4075,4053,3603,3877,3163,4472,592,3059,3313,6032,7374
8,1108,2399,1414,1140,1112,1325,1354,3880,0,3638,1222,407,304,282,338,596,1930,915,3453,1939,1437,3109,4434
9,2777,5157,3631,3052,3366,3036,3243,3524,3651,0,2895,3414,3456,3393,3933,4121,1776,3789,3223,1672,4705,3418,4370
10,361,3015,1095,516,830,513,701,3439,1020,2826,0,783,825,762,1302,1490,1118,1158,3138,1127,2203,3157,4499
11,871,2747,1550,894,1208,891,1079,3817,421,3204,788,0,45,36,707,891,1496,782,3516,1505,1732,2976,4301
12,913,2789,1592,936,1250,933,1121,3859,319,3246,830,45,0,21,605,789,1538,701,3558,1547,1630,2895,4220
13,850,2795,1598,942,1256,939,1127,3865,296,3252,836,36,21,0,582,766,1544,657,3564,1553,1607,2851,4176
14,1199,2125,1120,846,818,1611,1060,3586,370,3924,1508,693,590,568,0,322,2216,1201,3159,2225,1163,3395,4668
15,1403,1885,1255,981,953,1512,1195,3721,555,4109,1693,878,775,753,303,0,2401,1386,3294,2410,923,3580,4853
16,1069,3838,2219,1640,1954,1624,1831,3142,2239,1828,1483,2002,2044,1981,2521,2709,0,2377,2841,39,3422,3106,4448
17,1246,3190,2188,1532,1846,1529,1717,4455,917,3593,1426,698,703,659,1203,1387,2134,0,4154,2143,2228,2132,3474
18,3089,3222,3745,3274,3443,3309,2992,543,3559,3266,3299,3882,3779,3757,3307,3581,2884,4193,0,2780,3017,5753,7095
19,1078,3737,2118,1539,1853,1523,1730,3038,2138,1715,1382,1901,1943,1880,2420,2608,39,2276,2737,0,3321,3005,4347
20,2100,1252,2009,1735,1707,2266,1949,3303,1402,4956,2540,1725,1622,1600,1150,915,3248,2233,2876,3257,0,4195,5456
21,3245,4674,3477,2821,3135,2818,3006,5305,2367,2771,2388,2148,2153,2109,2653,2837,2395,1908,5004,2291,3678,0,2618
22,4587,6056,5550,4894,5208,4891,5079,7686,4479,4308,4461,4260,4302,4221,4765,4800,4468,3518,7385,4364,5641,2240,0
